k_ppt1 35.0 765.0 1 6.8027500E-01
k_ppt2 95.0 765.0 1 2.6232500E+00
k_ppt3 155.0 765.0 1 3.4980500E+00
k_ppt4 215.0 765.0 1 2.3749500E+00
k_ppt5 275.0 765.0 1 8.8425300E+00
k_ppt6 335.0 765.0 1 3.5683200E-01
k_ppt7 395.0 765.0 1 5.1716300E-01
k_ppt8 455.0 765.0 1 6.9898600E-01
k_ppt9 35.0 705.0 1 8.0303000E-01
k_ppt10 95.0 705.0 1 1.4350900E+00
k_ppt11 155.0 705.0 1 4.1436000E+00
k_ppt12 215.0 705.0 1 4.7193900E+00
k_ppt13 275.0 705.0 1 3.0187100E+00
k_ppt14 335.0 705.0 1 1.0275100E+00
k_ppt15 395.0 705.0 1 3.7244400E-01
k_ppt16 455.0 705.0 1 5.3582000E-01
k_ppt17 35.0 645.0 1 3.5445100E+00
k_ppt18 95.0 645.0 1 8.0010500E-01
k_ppt19 155.0 645.0 1 1.0053200E+00
k_ppt20 215.0 645.0 1 1.6430400E+00
k_ppt21 275.0 645.0 1 2.7865400E+00
k_ppt22 335.0 645.0 1 3.0621900E-01
k_ppt23 395.0 645.0 1 9.0496500E-01
k_ppt24 455.0 645.0 1 4.0567900E-01
k_ppt25 35.0 585.0 1 1.5326800E+00
k_ppt26 95.0 585.0 1 6.0035900E-01
k_ppt27 155.0 585.0 1 7.6034100E-01
k_ppt28 215.0 585.0 1 8.3308700E-01
k_ppt29 275.0 585.0 1 7.1625200E-01
k_ppt30 335.0 585.0 1 8.3026600E-01
k_ppt31 395.0 585.0 1 5.0082500E-01
k_ppt32 455.0 585.0 1 6.2236500E-01
k_ppt33 35.0 525.0 1 4.8331100E-01
k_ppt34 95.0 525.0 1 5.1740800E-01
k_ppt35 155.0 525.0 1 1.9951500E+00
k_ppt36 215.0 525.0 1 1.7533200E+00
k_ppt37 275.0 525.0 1 1.1315100E+00
k_ppt38 335.0 525.0 1 4.0532100E+00
k_ppt39 395.0 525.0 1 1.3004000E+00
k_ppt40 455.0 525.0 1 4.3361900E+00
k_ppt41 35.0 465.0 1 8.3243300E-01
k_ppt42 95.0 465.0 1 8.3548200E-01
k_ppt43 155.0 465.0 1 6.1214300E-01
k_ppt44 215.0 465.0 1 3.5722500E+00
k_ppt45 275.0 465.0 1 3.6389600E+00
k_ppt46 335.0 465.0 1 4.0165700E+00
k_ppt47 395.0 465.0 1 9.1403700E-01
k_ppt48 455.0 465.0 1 8.0782500E-01
k_ppt49 35.0 405.0 1 3.6396600E-01
k_ppt50 95.0 405.0 1 8.8774500E-01
k_ppt51 155.0 405.0 1 6.3799100E-01
k_ppt52 215.0 405.0 1 2.2094600E+00
k_ppt53 275.0 405.0 1 6.8571200E+00
k_ppt54 335.0 405.0 1 1.8562400E+00
k_ppt55 395.0 405.0 1 1.4451700E+00
k_ppt56 455.0 405.0 1 6.2315300E-01
k_ppt57 35.0 345.0 1 8.4513600E-01
k_ppt58 95.0 345.0 1 2.2032900E-01
k_ppt59 155.0 345.0 1 1.0153200E+00
k_ppt60 215.0 345.0 1 2.5008500E+00
k_ppt61 275.0 345.0 1 1.2136300E+01
k_ppt62 335.0 345.0 1 3.1755000E+00
k_ppt63 395.0 345.0 1 1.1188800E+00
k_ppt64 455.0 345.0 1 2.7135600E+00
k_ppt65 35.0 285.0 1 9.4812600E-01
k_ppt66 95.0 285.0 1 5.5630100E-01
k_ppt67 155.0 285.0 1 2.1469700E+00
k_ppt68 215.0 285.0 1 4.7704100E+00
k_ppt69 275.0 285.0 1 1.4950300E+01
k_ppt70 335.0 285.0 1 1.6810000E+01
k_ppt71 395.0 285.0 1 2.2060900E+00
k_ppt72 455.0 285.0 1 1.6024600E+00
k_ppt73 35.0 225.0 1 9.3724700E-01
k_ppt74 95.0 225.0 1 1.4950100E+00
k_ppt75 155.0 225.0 1 2.0729000E+00
k_ppt76 215.0 225.0 1 4.0962900E+00
k_ppt77 275.0 225.0 1 2.2219800E+00
k_ppt78 335.0 225.0 1 3.0628700E+00
k_ppt79 395.0 225.0 1 2.6709100E+00
k_ppt80 455.0 225.0 1 6.3267600E-01
k_ppt81 35.0 165.0 1 1.4471800E+00
k_ppt82 95.0 165.0 1 5.1562300E-01
k_ppt83 155.0 165.0 1 2.4386000E+00
k_ppt84 215.0 165.0 1 1.3819500E+00
k_ppt85 275.0 165.0 1 4.0420700E-01
k_ppt86 335.0 165.0 1 5.8575900E-01
k_ppt87 395.0 165.0 1 2.3003700E+00
k_ppt88 455.0 165.0 1 1.1457200E+00
k_ppt89 35.0 105.0 1 3.4097000E+00
k_ppt90 95.0 105.0 1 7.5053600E-01
k_ppt91 155.0 105.0 1 1.0537800E+00
k_ppt92 215.0 105.0 1 5.6323200E-01
k_ppt93 275.0 105.0 1 6.9517000E-02
k_ppt94 335.0 105.0 1 4.1645600E-01
k_ppt95 395.0 105.0 1 2.1924300E-01
k_ppt96 455.0 105.0 1 2.5771700E+00
k_ppt97 35.0 45.0 1 6.1087500E-01
k_ppt98 95.0 45.0 1 7.7706500E-01
k_ppt99 155.0 45.0 1 4.6382200E-01
k_ppt100 215.0 45.0 1 5.9925500E-01
k_ppt101 275.0 45.0 1 1.8393900E-01
k_ppt102 335.0 45.0 1 1.8236300E-01
k_ppt103 395.0 45.0 1 3.6410000E-01
k_ppt104 455.0 45.0 1 9.7597900E-01
