real_name,_well01_1,_well02_1,_well03_1,_well04_1,_well05_1,_well06_1,_well07_1,_well08_1,_well09_1,_well10_1,_well11_1,_well12_1,part_time,part_east
0,5.77211,5.68943,5.457,4.0331,3.9511,4.02394,2.72713,3.05409,2.98977,1.186,1.30787,1.09109,6052.51,238.006
1,5.72953,5.78102,5.31958,4.16785,3.98385,4.01058,2.61222,2.91484,3.03105,0.957061,1.27196,1.23996,8468.82,271.677
2,5.78671,5.7854,5.55398,4.1035,4.11067,4.01166,2.54243,3.01017,3.02961,1.18263,1.25407,1.23279,5894.44,314.077
3,5.68032,5.50589,5.50512,4.21806,4.06002,4.12769,2.8007,3.09183,2.94077,1.23885,1.36415,1.26709,6690.17,243.998
4,5.79623,5.59586,5.40613,3.91426,3.83453,3.8803,2.62035,3.02363,2.81532,1.10477,1.25509,1.17297,7391.3,269.712
5,5.69524,5.735,5.66586,4.0172,4.03255,4.07197,2.58644,3.04374,2.91428,0.985469,1.14178,1.24614,6846.62,243.032
6,5.84936,5.72588,5.67466,4.22498,4.00049,4.04615,2.67791,3.07129,2.96268,1.02108,1.20638,1.07947,6409.87,267.583
7,5.93634,5.70759,5.62343,3.92887,3.93499,3.8632,2.67905,2.91611,2.86353,1.10716,1.15828,1.07902,6452.33,245.921
8,5.75782,5.64593,5.6707,4.26721,4.01975,4.15429,2.69706,3.174,3.02547,1.07303,1.23678,1.4229,4389.63,181.476
9,5.73883,5.60947,5.61251,4.21488,3.88146,3.92959,2.58885,3.02991,2.83611,1.08744,1.19306,1.03187,5897.85,302.907
10,5.76152,5.52947,5.41327,4.00007,4.00217,4.01361,2.67427,3.0717,3.01371,1.16252,1.1003,1.26585,7243.63,257.422
11,5.85808,5.64973,5.37892,4.13223,4.12029,4.06076,2.71392,3.20103,3.04118,1.14371,1.29392,1.26359,4651.51,311.791
12,5.90692,5.71076,5.57273,3.99917,4.0017,4.11436,2.6308,3.0821,3.02397,1.06492,1.36784,1.20574,5465.03,168.525
13,6.01123,5.85938,5.37667,4.33221,4.05018,4.09814,2.75232,3.16764,3.23583,1.00357,1.41101,1.28804,7514.51,275.197
14,5.98838,5.63476,5.64737,4.20272,4.06452,4.00761,2.76561,3.10296,3.02698,1.26535,1.27696,1.2878,4291.77,260.441
15,5.74297,5.74593,5.56171,4.05163,4.00603,3.964,2.79401,3.09746,3.00139,1.11971,1.44875,1.40944,6298.3,325.518
16,5.7355,5.62554,5.16218,4.07046,3.8096,3.86999,2.63797,3.05555,2.99945,1.18787,1.23592,1.26979,6295.47,236.545
17,5.66413,5.61927,5.51075,3.90389,4.04715,3.97467,2.80915,3.14232,3.12678,1.32878,1.10129,1.11119,6034.9,227.803
18,5.68466,5.47171,5.4033,3.98165,3.96972,4.10811,2.65525,3.15967,2.93992,1.00446,1.1988,1.15987,6154.79,249.543
19,5.78853,5.95804,5.71535,4.16358,4.11516,4.35138,2.79973,3.18112,3.20318,1.11342,1.27767,1.14604,5951.78,200.352
20,5.79371,5.5983,5.49345,4.16257,3.93963,4.01468,2.66939,3.13971,2.9724,1.05208,1.25319,1.17943,5120.15,308.305
21,5.9949,5.92782,5.65953,4.17376,4.02062,3.98512,2.76278,3.23629,3.11701,1.08939,1.23106,1.04157,6128.51,288.638
22,5.7421,5.47516,5.5828,4.01327,3.97826,4.09629,2.86099,3.21044,2.97866,0.974786,1.15617,1.20849,4560.24,215.455
23,5.7265,5.48345,5.49312,4.03887,3.92209,3.84051,2.69378,3.1299,2.93358,1.13556,1.3298,1.32364,5714.69,292.297
24,5.84095,5.5074,5.52312,4.05438,3.91758,4.11014,2.65982,3.06378,2.94765,1.35103,1.23228,1.32339,7089.91,193.34
25,5.71221,5.69428,5.5045,3.97428,3.96683,4.04973,2.47412,3.09315,3.03286,1.1267,1.12458,1.02364,7015.34,296.191
26,5.64071,5.61101,5.50755,4.03794,3.9538,3.92756,2.65328,3.21461,3.10028,1.11567,1.18227,1.16919,6164.27,232.034
27,5.83515,5.58484,5.57903,3.95786,4.03179,4.1761,2.78489,3.03694,2.88444,1.12567,1.23844,1.14714,6444.65,199.803
28,5.56732,5.6381,5.43587,3.9281,3.8981,4.02996,2.59584,3.08047,2.93728,1.18141,1.37296,1.22007,6503.92,296.157
29,5.69008,5.48889,5.28383,4.06974,3.97207,4.06103,2.79655,3.02536,2.80423,1.03615,1.18561,1.36989,4813.71,325.464
30,6.06042,5.83048,5.71747,4.33655,4.13452,4.24035,2.88853,3.28809,3.11524,1.26884,1.49769,1.25843,5488.98,254.753
31,5.88905,5.67888,5.45522,4.12431,4.04654,4.0615,2.84903,3.05891,3.00876,0.993523,1.24427,1.29563,5711.07,266.921
32,5.577,5.38475,5.19014,3.97482,3.91534,3.97551,2.5129,3.14334,3.06817,1.121,1.26296,1.29582,5247.2,181.574
33,5.63005,5.65233,5.56163,4.19944,4.10216,4.05444,2.64951,3.02321,3.23834,1.23977,1.21505,1.15107,6737.81,254.476
34,5.70496,5.55179,5.51762,4.03215,3.93838,4.02884,2.61767,3.09277,2.90439,1.21756,1.37915,1.03544,7841.77,244.771
35,5.60403,5.48727,5.54885,3.91435,3.88468,3.91915,2.60097,2.96901,2.96804,1.06738,1.04926,1.10093,5481.92,198.448
36,5.82223,5.584,5.40775,3.98963,3.89426,4.00098,2.59453,2.9991,2.96009,1.0244,1.18822,1.21568,7099.87,218.125
37,5.67805,5.67715,5.49902,3.95676,4.02653,3.92756,2.79348,3.11798,2.89246,1.32447,1.19863,1.31672,6740.18,282.979
38,5.93332,5.6921,5.39607,4.02028,3.98177,3.90804,2.74012,2.99522,2.89751,1.22027,1.277,1.17164,5992.41,333.059
base,5.78404,5.64825,5.50328,4.07276,3.96331,4.05749,2.63555,3.07806,3.00725,1.11164,1.22396,1.19353,6875.46,235.593
